Vanuserühm,Võõrkeelte oskus kokku,Oskab ühte võõrkeelt,Oskab kahte võõrkeelt,Oskab kolme võõrkeelt,Oskab vähemalt nelja võõrkeelt,Võõrkeelte oskus teadmata
Vanuserühmad kokku,1331820,466550,345630,130690,32450,0
0-14,217790,59690,21020,3020,250,0
15-29,201100,83120,77220,18130,3100,0
30-49,382690,115090,135220,57570,17060,0
50-64,258080,91050,64810,35180,8460,0
65 ja vanemad,272160,117600,47350,16800,3570,0
Vanus teadmata,0,0,0,0,0,0
